Material Code ,Material Description,Unit, Price 
MS06.0017,"GI PLUG (1"" | 25.4 mm Ø)",PC, 25.70 
MS06.0018,"GI PLUG (1 1/2"" | 38 mm Ø)",PC, 29.52 
MS06.0019,"GI PLUG (2"" | 50 mm Ø)",PC, 34.32 
MS06.0020,"GI TEE, BANDED (1/2"" | 12.7 mm Ø)",PC, 29.52 
MS06.0021,"GI TEE, BANDED (3/4"" | 19 mm Ø)",PC, 29.52 
MS06.0022,"GI TEE, BANDED (1"" | 25.4 mm Ø)",PC, 37.14 
MS06.0023,"GI TEE, BANDED (1 1/2"" | 38 mm Ø)",PC, 63.79 
MS06.0024,"GI TEE, BANDED (2"" | 50 mm Ø)",PC, 71.41 
MS06.0025,"GI UNION, FLAT SEAT (1/2"" | 12.7 mm Ø)",PC, 32.56 
MS06.0026,"GI UNION, FLAT SEAT (3/4"" | 19 mm Ø)",PC, 51.92 
MS06.0027,"GI UNION, FLAT SEAT (1"" | 25.4 mm Ø)",PC, 65.12 
MS06.0028,"GI UNION, FLAT SEAT (1 1/2"" | 38 mm Ø)",PC, 82.72 
MS06.0029,"GI UNION, FLAT SEAT (2"" | 50 mm Ø)",PC, 105.53 
MS06.0030,"PVC CLEAN-OUT WITH PLUG & SEAL RING (2"" | 50 mm Ø)",PC, 24.64 
MS06.0031,"PVC CLEAN-OUT WITH PLUG & SEAL RING (3"" | 76 mm Ø)",PC, 39.60 
MS06.0032,"PVC CLEAN-OUT WITH PLUG & SEAL RING (4"" | 101 mm Ø)",PC, 57.20 
MS06.0033,PVC CONCENTRIC BUSHING REDUCER (76 mm x 50 mm),PC, 31.02 
MS06.0034,PVC CONCENTRIC BUSHING REDUCER (101 mm x 50 mm),PC, 45.76 
MS06.0035,PVC CONCENTRIC BUSHING REDUCER (101 mm x 76 mm),PC, 56.32 
MS06.0036,"PVC COUPLING (1/2"" | 12.7 mm Ø)",PC, 7.92 
MS06.0037,"PVC COUPLING (3/4"" | 19 mm Ø)",PC, 11.44 
MS06.0038,"PVC COUPLING (1"" | 25.4 mm Ø)",PC, 13.20 
MS06.0039,"PVC COUPLING (1 1/2"" | 38 mm Ø)",PC, 23.76 
MS06.0040,"PVC COUPLING (2"" | 50 mm Ø)",PC, 35.20 
MS06.0041,"PVC ELBOW, 45° (2"" | 50 mm Ø)",PC, 30.80 
MS06.0042,"PVC ELBOW, 45° (3"" | 76 mm Ø)",PC, 52.80 
MS06.0043,"PVC ELBOW, 45° (4"" | 101 mm Ø)",PC, 79.20 
MS06.0044,"PVC ELBOW, 87.5° (2"" | 50 mm Ø)",PC, 26.40 
MS06.0045,"PVC ELBOW, 87.5° (3"" | 76 mm Ø)",PC, 54.56 
MS06.0046,"PVC ELBOW, 87.5° (4"" | 101 mm Ø)",PC, 91.52 
MS06.0047,"PVC MALE ADAPTER, THREADED (1/2"" | 12.7 mm Ø)",PC, 11.88 
MS06.0048,"PVC MALE ADAPTER, THREADED (3/4"" | 19 mm Ø)",PC, 14.52 
MS06.0049,"PVC MALE ADAPTER, THREADED (1"" | 25.4 mm Ø)",PC, 14.21 
MS06.0050,"PVC MALE ADAPTER, THREADED (1 1/2"" | 38 mm Ø)",PC, 18.75 
MS06.0051,"PVC MALE ADAPTER, THREADED (2"" | 50 mm Ø)",PC, 31.68 
MS06.0052,"PVC P-TRAP WITH PLUG & SEAL RING (2"" | 50 mm Ø)",PC, 97.68 
MS06.0053,"PVC P-TRAP WITH PLUG & SEAL RING (3"" | 76 mm Ø)",PC, 164.56 
MS06.0054,"PVC P-TRAP WITH PLUG & SEAL RING (4"" | 101 mm Ø)",PC, 272.80 
MS06.0055,PVC REDUCER (19 mm x 12.7 mm),PC, 8.80 
MS06.0056,PVC REDUCER (25.4 mm x 19 mm),PC, 13.20 
MS06.0057,PVC REDUCER (25.4 mm x 12.7 mm),PC, 10.56 
MS06.0058,PVC REDUCER (38 mm x 25.4 mm),PC, 34.32 
MS06.0059,PVC REDUCER (38 mm x 19 mm),PC, 43.53 
MS06.0060,PVC REDUCER (50 mm x 25.4 mm),PC, 44.65 
MS06.0061,PVC TAP TEE WITH SEAL RING (50 mm X 25.4 mm),PC, 56.87 
MS06.0062,PVC TAP TEE WITH SEAL RING (50 mm X 38 mm),PC, 74.80 
MS06.0063,"PVC TEE (1/2"" | 12.7 mm Ø)",PC, 11.44 
MS06.0064,"PVC TEE (3/4"" | 19 mm Ø)",PC, 13.20 
MS06.0065,"PVC TEE (1"" | 25.4 mm Ø)",PC, 20.24 
MS06.0066,"PVC TEE (1 1/2"" | 38 mm Ø)",PC, 30.36 
MS06.0067,"PVC TEE (2"" | 50 mm Ø)",PC, 36.08 
MS06.0068,"PVC TEE, DOUBLE BRANCH (2"" | 50 mm Ø)",PC, 28.16 
MS06.0069,"PVC TEE, DOUBLE BRANCH (3"" | 76 mm Ø)",PC, 56.32 
MS06.0070,"PVC TEE, DOUBLE BRANCH (4"" | 101 mm Ø)",PC, 58.96 
MS06.0071,"PVC WYE, SINGLE BRANCH, 45° (50 mm x 50 mm)",PC, 45.76 
MS06.0072,"PVC WYE, SINGLE BRANCH, 45° (76 mm x 50 mm)",PC, 79.20 
MS06.0073,"PVC WYE, SINGLE BRANCH, 45° (76 mm x 76 mm)",PC, 87.12 
MS06.0074,"PVC WYE, SINGLE BRANCH, 45° (101 mm x 50 mm)",PC, 101.20 
MS06.0075,"PVC WYE, SINGLE BRANCH, 45° (101 mm x 76 mm)",PC, 140.80 
MS06.0076,"PVC WYE, SINGLE BRANCH, 45° (101 mm x 101 mm)",PC, 123.20 
MS06.0077,"PVC SEEP, TEE, SINGLE BRANCH, 87.5° (50 mm x 50 mm)",PC, 44.00 
MS06.0078,"PVC SEEP, TEE, SINGLE BRANCH, 87.5° (76 mm x 50 mm)",PC, 48.40 
MS06.0079,"PVC SEEP, TEE, SINGLE BRANCH, 87.5° (76 mm x 76 mm)",PC, 86.24 
